121 156
22 54 29
192 47 69
3 47 77
78 47 19
97 192 69
100 78 85
7 192 35
189 54 68
264 189 84
262 22 59
260 264 28
70 3 30
146 264 38
231 22 23
56 54 5
176 47 45
206 176 73
243 78 69
28 176 70
6 100 81
210 243 22
90 28 37
14 260 61
247 100 47
60 206 14
236 100 27
252 7 80
151 247 55
112 231 32
140 146 41
165 56 42
191 192 26
207 260 48
44 207 18
127 176 50
270 189 34
4 236 88
59 97 71
168 262 87
188 243 46
179 262 83
12 28 100
147 192 6
126 270 80
196 252 2
79 112 66
41 56 51
81 189 89
246 78 94
199 56 79
119 147 45
102 78 24
32 243 65
120 246 37
174 102 43
125 264 26
153 70 37
98 97 22
223 140 11
169 179 1
149 41 71
71 100 68
53 3 1
222 22 42
13 176 98
68 90 69
224 97 22
259 47 19
121 151 83
39 147 6
157 68 77
227 262 41
133 70 25
208 196 57
150 68 74
177 227 3
82 188 79
63 189 27
202 70 16
266 54 59
180 100 89
170 224 58
220 3 55
55 146 49
230 165 30
122 192 14
171 47 91
145 41 93
31 171 93
185 259 38
62 78 84
128 59 85
242 266 17
218 165 49
118 176 7
203 100 40
58 262 57
226 97 78
178 31 36
163 185 1
217 157 74
42 170 86
33 13 5
15 3 19
193 217 59
155 242 29
209 126 82
75 98 48
66 210 100
136 223 63
197 56 45
219 207 67
257 60 10
24 192 55
253 147 72
204 71 39
20 210 18
25 197 95
141 81 5
72 126 49
143 253 19
117 31 9
40 126 62
11 7 41
50 146 30
238 155 26
241 63 62
162 146 53
159 163 89
269 247 49
130 147 26
152 44 25
103 47 50
190 174 39
99 15 39
1 208 86
91 155 13
17 118 25
123 176 7
114 224 57
135 17 51
36 145 94
108 56 55
244 99 98
256 7 96
229 269 58
184 174 57
51 206 2
198 13 68
212 128 5
43 252 25
194 165 33
73 223 2
161 41 84
216 229 33
29 143 81
85 226 65
101 73 65
148 90 32
84 31 79
225 108 39
9 36 26
49 219 15
175 22 90
35 141 95
110 71 17
267 121 23
228 82 13
83 231 66
139 81 1
52 36 18
80 14 84
187 247 88
38 226 3
233 6 4
124 118 3
94 85 64
154 108 38
265 266 92
255 83 63
221 171 78
237 185 60
65 58 100
23 253 54
27 255 44
166 220 23
158 220 77
93 130 39
45 203 43
250 209 27
131 54 99
200 166 61
76 159 67
156 79 37
92 154 15
61 190 48
46 163 60
186 20 35
96 161 42
137 252 45
258 207 43
107 83 53
129 130 1
106 76 76
144 253 68
18 137 32
21 157 26
105 253 43
183 229 85
87 163 77
245 135 23
88 203 1
249 94 16
263 40 40
115 245 84
261 97 22
213 53 97
254 246 98
268 76 62
240 92 37
251 260 87
235 120 72
104 13 81
214 209 36
142 247 16
19 270 49
111 175 66
164 158 72
57 84 62
116 199 2
239 241 86
160 29 61
30 141 87
69 1 92
113 101 42
86 19 30
201 30 79
48 139 19
2 108 92
173 20 72
181 35 8
26 71 33
77 36 48
138 253 48
10 261 83
195 84 53
232 194 39
89 241 87
134 225 62
211 91 56
8 156 48
109 2 50
67 159 82
16 111 15
64 51 40
182 246 50
74 39 10
248 184 79
205 123 60
172 198 84
37 104 16
5 208 58
234 170 57
34 249 9
215 245 23
132 94 8
167 62 76
95 100 32
179 257 4
182 200 97
238 228 13
51 172 56
244 126 33
253 223 75
29 98 57
159 227
131 95 11
135 131 66
89 131 99
143 95 97
55 131 87
36 55 26
151 95 51
121 89 39
88 55 16
126 143 74
84 95 39
157 151 18
35 126 91
112 88 87
102 88 54
158 135 67
24 55 71
77 131 67
140 77 93
47 151 9
125 47 58
97 157 67
146 88 66
62 121 49
82 55 96
18 88 26
138 47 15
14 62 27
31 140 75
15 140 87
94 102 33
113 62 58
111 112 95
98 84 45
52 84 78
2 98 42
59 82 3
127 35 48
44 138 16
73 82 83
5 125 36
19 97 51
48 2 22
159 84 25
136 47 48
26 88 41
42 19 86
80 89 14
53 143 6
9 24 93
110 131 8
86 26 18
22 26 49
85 2 78
87 22 34
109 136 42
119 140 6
130 44 93
49 97 57
75 157 87
149 112 30
68 159 60
129 15 80
120 80 85
65 159 32
1 59 12
101 109 90
104 77 44
23 159 59
155 75 70
144 113 5
145 138 82
150 75 30
28 85 87
81 2 36
116 80 21
117 2 88
147 135 93
51 73 93
93 158 47
66 140 34
90 120 87
27 112 56
64 85 27
11 59 67
96 59 33
106 150 23
57 27 86
60 159 51
156 18 52
132 22 39
37 2 42
30 93 48
83 65 36
17 65 25
6 93 14
12 140 17
71 82 88
50 81 29
70 149 30
8 47 50
21 36 88
34 157 7
38 104 24
154 35 12
72 70 78
92 50 71
103 15 33
76 55 97
20 17 34
7 31 64
63 6 1
61 15 99
148 85 39
137 18 99
139 26 97
153 144 66
39 146 31
123 143 65
3 49 9
32 57 79
16 98 13
25 38 73
46 24 99
114 131 54
142 138 93
115 2 90
74 7 39
152 36 47
69 117 20
33 89 58
45 89 33
118 148 89
13 55 9
58 103 3
29 28 82
79 38 95
91 97 16
133 132 22
124 29 86
105 135 43
10 102 5
67 101 49
41 116 100
99 15 80
4 131 55
56 94 72
108 45 94
107 154 15
54 102 86
78 18 88
100 11 31
40 65 5
43 41 81
122 81 75
141 130 71
128 74 95
134 21 96
18 2 18
86 119 46
145 87 45
51 47 54
114 46 84
100 155 16
158 143 35
36 27 19
133 86 95
18 109 15
71 19 30
137 96 88
49 98 61
73 100 78
32 29 15
29 140 22
66 159 18
26 20 89
136 22 50
3 88 12
122 73 19
30 146 20
121 52 100
151 109 88
138 152 72
92 119 40
80 143 43
73 25 25
14 152 25
119 141 13
94 81 79
81 97 50
16 155 54
8 76 79
74 67 82
16 7 58
12 55 47
31 144 99
74 1 79
53 50 97
79 63 71
36 68 95
82 40 92
156 154 8
20 87 91
64 158 54
105 14 97
41 144 38
63 3 90
76 150 45
73 36 55
24 68 8
127 33 80
26 7 89
20 50 17
1 85 5
27 145 58
71 85 64
8 21 62
112 96 70
12 98 34
53 129 51
106 54 8
115 9 9
157 67 46
21 152 41
39 134 77
108 102 35
127 156 34
170 287
34 74 83
50 74 20
152 34 99
72 34 99
131 152 21
140 152 42
145 74 22
47 152 42
169 34 94
19 169 94
85 72 73
104 19 96
103 145 21
144 145 23
79 103 54
3 72 76
122 144 73
15 144 30
41 47 22
39 169 14
61 152 10
89 144 19
30 131 92
44 47 95
77 39 56
139 15 17
75 140 50
31 75 73
68 15 98
64 3 16
165 61 20
26 30 24
124 131 18
4 104 44
133 89 31
81 152 36
1 64 88
121 104 76
157 81 87
42 74 15
115 157 20
129 26 76
166 81 77
62 103 66
123 103 72
148 50 75
12 81 90
118 39 27
108 74 14
48 103 64
21 121 84
146 108 73
136 124 45
160 145 23
46 34 35
52 4 11
109 144 98
84 72 31
119 48 3
36 30 66
37 39 57
90 109 94
95 103 41
110 36 69
161 30 94
96 37 85
33 145 29
18 21 34
154 152 14
10 85 69
88 157 38
5 90 64
53 47 57
102 21 25
101 89 40
24 77 77
158 26 93
111 18 89
98 108 26
134 62 77
38 103 3
70 36 79
93 48 9
151 31 88
87 34 68
35 61 100
150 61 23
16 129 39
128 68 23
168 79 5
27 15 96
60 38 2
76 34 46
142 24 19
167 33 93
91 72 76
82 84 94
6 30 48
135 3 94
126 150 76
40 102 60
20 166 75
69 15 10
114 160 7
49 41 56
63 33 73
153 40 76
156 19 63
107 18 83
159 157 37
117 72 81
83 135 43
170 88 40
100 101 78
7 41 63
86 84 75
9 36 59
147 135 8
78 41 8
92 52 5
149 12 15
67 50 82
112 144 28
155 102 92
125 98 40
55 90 49
130 20 28
32 42 92
56 53 67
116 126 30
73 158 64
132 151 47
143 87 29
113 111 60
164 118 66
13 165 83
22 10 2
66 74 80
43 6 40
71 150 20
8 21 91
162 147 99
25 22 38
14 161 31
120 151 90
28 76 91
2 102 92
51 38 91
54 72 85
97 142 88
163 157 99
65 133 59
138 3 25
94 166 5
57 4 77
17 37 57
23 62 60
106 98 56
141 3 90
11 165 46
105 151 25
45 134 94
137 96 21
58 3 2
29 113 46
59 3 69
99 95 28
127 84 13
80 22 78
35 83 2
64 95 92
61 75 18
119 163 81
134 2 3
114 112 3
151 130 96
28 70 49
108 56 44
32 164 78
61 83 91
64 5 27
30 73 56
44 165 90
13 133 100
61 25 37
33 108 43
152 80 22
161 73 79
20 11 13
168 25 22
22 162 12
147 141 24
113 43 47
147 148 63
2 84 84
14 92 1
144 63 83
35 124 26
10 137 71
37 110 75
21 54 69
126 62 54
138 90 68
55 91 95
74 51 100
16 56 84
1 130 3
128 132 18
136 150 98
2 64 19
145 81 10
75 142 18
84 168 88
53 64 1
27 91 77
113 44 28
45 113 87
162 16 53
156 16 52
139 142 73
153 136 52
133 103 97
167 143 28
92 170 95
118 143 94
42 48 43
27 54 72
160 142 95
123 33 38
92 19 53
110 93 100
140 112 66
144 164 18
114 165 21
159 23 13
84 161 57
66 41 43
104 10 76
66 52 32
12 139 6
126 66 30
146 52 93
61 95 55
155 11 14
26 88 63
109 39 95
20 168 75
51 53 85
40 154 96
86 170 2
111 139 70
11 127 10
1 138 71
46 147 66
88 41 63
164 109 53
111 86 54
160 110 12
126 65 44
95 160 98
76 46 94
31 21 40
84 110 91
136 65 12
38 134 77
152 56 2
129 34 52
23 45 2
10 97 12
37 59 76
81 14 67
110 94 45
63 13 68
6 47 92
63 161 41
29 57 7
128 50 41
136 107 95
46 8 48
124 125 22
103 143 9
166 150 92
39 78 99
122 125 44
94 132 49
85 95 41
18 41 51
201 367
69 49 44
98 49 31
73 69 55
199 49 7
142 98 47
194 69 81
188 73 77
93 73 67
170 49 61
182 142 20
157 182 18
111 188 32
123 69 53
66 49 40
10 66 18
148 73 55
189 199 93
33 148 70
144 157 64
58 98 30
19 188 68
76 10 63
130 98 9
51 194 57
92 182 62
103 49 56
6 157 31
17 170 35
154 142 50
71 130 16
109 194 80
86 93 83
200 92 69
53 142 94
105 58 31
83 92 91
143 98 2
177 105 96
56 51 15
152 123 16
41 103 34
168 76 87
121 93 73
135 98 85
77 142 69
60 148 64
13 199 55
120 170 45
134 69 40
127 56 66
183 86 67
128 177 72
23 157 28
80 10 14
96 109 77
106 10 33
20 170 100
164 105 100
197 20 33
2 188 58
78 144 3
68 69 23
126 197 2
176 58 67
181 194 61
14 168 15
180 33 71
133 10 84
147 60 14
72 126 85
149 126 23
122 197 57
114 19 23
118 122 6
90 189 55
155 148 4
11 71 52
100 11 88
172 33 69
40 92 74
167 164 74
179 73 82
21 105 34
145 40 84
95 83 50
22 109 67
1 154 100
27 106 43
173 127 70
175 49 61
171 167 12
32 171 89
112 142 23
196 100 74
104 127 22
165 194 75
87 20 51
132 126 47
18 93 11
25 98 29
74 33 56
110 103 91
36 2 42
55 111 44
101 92 56
97 197 15
37 197 43
42 135 98
153 98 71
184 168 28
201 100 48
16 103 22
187 145 94
75 135 12
5 40 25
35 77 94
174 109 14
141 196 21
159 196 46
137 27 1
150 172 81
166 20 2
136 25 86
39 100 9
190 76 3
84 175 24
24 137 34
192 145 94
63 106 40
79 86 61
4 56 67
57 153 35
52 192 12
156 16 3
138 111 37
151 92 21
160 200 62
45 101 4
163 56 89
162 144 53
186 103 46
191 93 79
91 155 64
3 95 21
26 186 65
116 110 45
195 76 40
34 83 31
61 191 79
81 155 21
131 57 75
139 49 42
193 173 44
62 91 53
88 180 74
124 163 33
115 183 54
113 57 43
29 35 60
178 20 36
50 105 91
54 92 99
15 170 91
59 111 48
107 63 53
85 141 21
38 188 94
185 103 47
28 88 33
65 98 34
198 4 84
43 152 84
46 22 12
9 41 50
146 157 85
169 200 60
99 141 83
7 4 33
48 10 19
129 98 89
67 166 22
70 151 91
161 43 39
8 146 19
119 123 68
125 63 32
158 152 76
108 163 49
94 167 37
31 152 77
140 75 78
47 198 29
64 119 65
12 74 23
30 132 11
102 74 19
117 50 95
82 11 89
89 100 31
44 68 66
1 179 60
103 83 88
9 188 30
76 199 79
193 26 54
21 64 93
47 54 31
105 84 10
119 170 11
146 64 56
17 127 10
31 61 75
109 56 3
91 114 63
19 32 46
146 89 38
44 155 61
126 199 89
165 18 92
141 86 45
126 159 28
21 164 51
113 52 22
67 80 90
3 93 25
97 165 94
143 21 27
134 108 32
200 31 39
97 79 99
38 87 46
54 135 14
109 137 100
180 172 80
92 84 34
47 64 31
175 166 71
60 92 4
123 139 18
56 169 64
96 74 42
159 40 53
117 107 69
199 151 54
49 113 29
19 143 16
18 15 6
117 69 38
68 61 7
152 120 8
53 11 87
180 53 5
2 89 68
108 142 48
181 12 29
7 187 97
6 88 88
133 102 27
59 169 72
133 74 48
94 28 25
157 60 99
15 38 86
147 163 32
65 133 33
16 135 69
101 133 61
109 164 64
61 114 62
79 183 36
174 81 75
154 189 75
110 23 1
58 100 4
155 99 61
78 114 53
39 161 32
67 107 95
193 58 30
145 112 77
106 143 58
187 33 55
33 147 40
194 170 34
198 161 48
175 121 9
158 6 10
84 63 25
126 11 28
75 26 50
120 77 44
107 129 56
139 181 55
116 175 30
22 103 46
166 145 2
16 106 16
72 177 83
42 105 40
63 91 5
34 40 88
84 89 16
21 71 87
76 150 13
1 196 12
6 172 36
164 54 93
137 77 73
79 162 93
54 148 85
181 68 42
13 25 98
186 72 84
20 176 97
141 176 57
178 185 52
138 131 55
37 21 32
101 20 54
20 175 80
35 79 84
95 148 42
91 153 85
29 87 7
36 61 72
76 140 63
88 20 59
76 133 32
143 27 71
109 81 68
18 135 65
160 196 78
180 137 18
195 144 81
35 26 78
42 49 64
167 128 22
146 57 90
130 133 61
130 109 64
104 20 54
82 49 10
13 29 12
34 155 15
164 186 32
187 38 45
176 137 46
60 58 83
62 186 29
35 177 37
123 31 8
44 195 37
96 133 26
48 89 13
110 48 23
6 146 72
177 19 73
113 66 15
19 160 56
87 35 12
176 160 50
146 197 62
37 106 85
53 33 34
139 135 41
140 197 100
113 87 24
90 95
29 64 27
12 29 99
56 12 54
66 12 59
58 66 27
78 56 95
62 78 57
28 29 11
33 56 11
68 58 27
77 66 52
79 56 84
3 77 71
27 29 65
61 28 98
18 28 55
50 27 1
5 58 36
46 3 48
54 5 19
70 64 66
21 33 23
51 64 31
25 79 20
20 46 16
40 68 72
74 28 57
42 70 92
8 28 29
82 58 16
45 68 75
44 70 73
30 74 31
57 8 54
11 44 43
43 18 46
31 56 77
15 11 10
69 50 96
47 29 10
87 30 13
72 29 43
39 31 47
36 8 5
38 79 14
63 28 69
34 5 11
60 29 77
59 51 17
6 60 47
14 61 8
85 60 24
49 38 39
37 64 21
52 3 67
9 44 43
7 79 5
81 11 72
24 58 81
22 78 51
73 49 86
17 20 34
10 29 1
75 50 18
2 69 77
4 81 95
84 44 64
90 54 68
48 79 27
88 73 13
71 70 48
23 60 22
13 20 47
67 43 12
19 85 27
41 25 48
16 87 36
76 24 62
83 44 88
65 8 50
1 67 90
89 38 57
53 34 66
86 70 53
55 1 84
32 12 1
35 44 45
80 34 47
26 2 21
30 4 76
90 41 2
64 22 7
68 10 26
17 22 67
89 49 31
288 380
153 126 95
141 153 48
9 141 10
163 126 65
249 141 57
18 126 77
157 163 65
264 163 69
159 153 75
117 153 43
100 264 83
253 126 7
270 18 24
94 253 22
111 264 13
219 18 8
180 157 96
288 264 67
258 153 23
26 159 92
139 163 1
87 126 60
142 26 92
208 157 9
281 100 56
247 159 18
57 26 64
137 153 87
88 288 72
166 249 65
196 87 40
168 219 75
167 157 71
109 264 52
233 288 48
86 117 40
225 288 87
131 166 52
35 219 84
38 142 17
108 180 87
231 208 26
286 9 7
246 249 71
64 137 2
53 100 35
124 288 21
236 9 89
106 233 67
154 219 63
74 246 7
192 264 62
218 18 98
16 64 60
176 131 85
194 154 53
127 38 62
23 166 54
140 154 42
274 218 13
148 270 88
80 126 15
77 64 25
198 86 99
278 142 15
202 131 39
184 249 40
121 246 63
76 246 45
65 247 85
30 236 89
276 35 79
229 141 61
48 253 11
239 218 61
205 219 92
164 274 70
238 233 93
155 249 97
262 137 78
268 148 27
150 131 51
82 74 13
144 288 6
28 53 23
93 117 4
62 276 83
146 16 11
271 23 47
275 28 54
283 124 8
280 286 99
54 280 10
32 57 74
113 131 58
250 236 83
178 278 65
112 62 58
204 231 82
224 270 56
79 276 31
13 57 96
210 13 47
211 94 42
185 271 71
263 163 98
69 185 67
272 233 17
67 194 3
244 38 14
7 204 8
175 159 39
277 163 20
165 23 91
6 141 2
230 146 2
1 280 64
151 165 29
212 88 27
179 139 63
197 141 43
216 211 12
181 275 71
75 93 22
171 137 82
43 141 65
158 288 98
102 205 62
152 167 44
265 16 44
10 106 99
227 270 44
60 74 89
21 13 10
191 229 39
90 74 12
228 124 40
287 176 5
207 48 13
226 100 87
14 244 83
260 225 96
33 90 35
186 180 80
99 224 86
17 26 62
70 247 69
189 194 48
71 262 17
31 1 9
162 179 41
55 18 32
143 278 39
81 32 44
91 77 71
130 81 53
261 77 24
89 77 52
101 7 18
188 175 18
255 268 35
63 60 54
83 13 18
209 179 6
110 236 36
177 90 82
237 90 64
173 171 63
118 247 87
170 93 74
37 212 56
243 99 39
78 144 66
66 210 71
149 110 9
282 244 88
269 246 54
34 106 60
125 177 39
12 70 45
73 233 51
234 173 55
248 139 96
215 173 87
254 89 81
266 6 12
61 198 11
123 184 30
103 278 60
132 101 35
24 173 73
183 26 41
119 155 80
252 111 94
203 255 1
107 231 24
11 248 58
182 177 44
259 202 3
85 177 88
199 109 90
47 118 96
120 63 15
42 283 35
147 75 46
68 67 1
8 86 43
92 38 93
51 37 6
114 74 73
200 10 35
174 166 17
58 110 76
45 92 79
190 163 48
50 79 40
285 182 74
15 108 6
104 28 28
105 269 75
98 68 90
39 38 47
245 198 68
96 282 37
235 64 42
220 69 62
41 266 33
240 104 36
19 199 88
195 88 61
3 6 51
52 64 23
213 38 12
49 82 84
206 51 79
84 62 36
29 99 92
133 246 28
128 140 69
122 79 5
284 166 87
169 62 6
20 275 50
217 113 84
46 32 78
56 189 2
115 249 35
95 144 83
256 269 79
273 127 61
135 124 57
72 224 82
267 202 54
257 101 95
2 285 90
161 274 52
160 253 41
22 267 6
193 194 8
59 245 76
129 277 99
214 67 31
223 98 53
251 252 16
44 269 77
27 246 37
232 115 32
241 8 25
145 83 84
25 164 23
201 88 94
172 260 77
116 178 98
222 243 82
136 150 72
138 92 26
134 131 47
187 153 39
4 35 6
97 64 20
279 170 14
156 109 6
242 230 35
221 102 33
5 59 69
36 176 88
40 184 40
77 81 78
107 5 57
176 88 24
74 108 14
111 147 38
242 92 65
14 204 65
225 56 37
124 134 22
142 190 33
115 244 75
127 239 25
38 42 56
192 149 7
183 92 63
103 222 15
76 172 8
89 161 93
209 50 13
45 48 56
238 257 54
115 256 49
98 127 51
24 165 68
147 257 62
80 65 89
194 235 52
186 52 62
25 102 9
19 138 53
142 176 100
79 94 6
89 93 67
118 241 41
178 85 44
79 137 97
150 41 66
272 241 50
100 204 47
286 100 63
23 170 80
204 253 71
79 270 10
147 88 45
19 195 86
111 182 31
123 16 51
159 255 57
160 231 92
222 91 86
75 186 75
160 57 11
128 282 28
169 40 56
275 239 74
86 174 25
94 286 13
84 107 30
168 21 83
229 13 7
135 55 94
121 233 34
58 271 64
178 144 83
65 4 30
39 163 63
6 182 80
287 166 36
2 175 73
222 206 100
10 133 40
30 101 97
63 266 70
133 223 85
76 53 73
213 207 97
21 45 10
204 219 61
172 155 51
211 67 35
57 112 97
100 61 46
107 191 42
177 167 55
61 4 62
27 136 90
282 31 16
141 52 93
196 247 70
93 239 42
71 68 60
36 67 12
136 40 80
220 365
99 47 82
208 99 38
20 47 4
211 20 31
33 47 19
177 20 62
212 208 72
101 99 97
22 101 3
23 47 55
18 101 30
65 22 8
85 20 55
80 85 47
84 80 36
120 208 86
4 101 84
2 212 7
168 2 45
134 80 84
184 84 34
173 4 82
209 22 53
109 173 4
1 20 6
201 99 78
220 22 98
72 47 46
217 80 31
161 120 54
29 173 76
199 29 96
180 99 41
98 209 93
189 168 35
119 29 97
39 161 10
59 189 48
169 47 15
125 101 43
149 47 5
216 85 15
183 169 5
46 65 76
179 46 1
28 217 72
152 220 56
141 18 57
150 2 7
186 173 23
94 98 1
107 98 52
133 98 94
43 84 100
130 94 23
116 208 100
49 28 58
156 209 75
157 186 21
145 18 79
21 22 48
185 220 67
12 85 70
83 1 39
205 59 73
25 33 5
127 84 2
178 28 69
60 4 78
3 180 93
182 4 2
140 83 86
38 134 38
114 1 37
13 43 7
106 60 7
91 59 12
160 149 42
174 120 81
137 65 75
93 199 79
50 174 92
159 72 46
188 161 62
196 161 15
167 217 66
19 127 8
53 196 4
200 209 43
63 157 46
181 4 31
164 141 15
88 125 36
36 220 64
37 116 97
136 101 62
73 3 67
112 39 29
105 53 47
191 149 27
115 133 82
194 211 14
76 21 73
24 188 94
126 47 51
87 36 51
61 24 67
153 127 66
138 200 30
89 211 81
187 208 68
102 160 64
70 179 44
135 119 18
128 209 16
54 149 98
139 46 92
147 169 56
122 59 58
55 177 98
214 115 14
17 63 15
213 23 8
62 184 3
35 29 86
79 114 48
42 178 70
155 98 16
203 139 94
11 55 22
158 114 40
103 186 27
195 72 22
97 150 43
95 203 47
193 73 32
118 212 7
74 106 15
176 24 86
52 185 21
14 84 66
124 174 98
75 164 22
144 125 68
148 158 3
71 144 72
8 11 78
175 183 84
48 83 58
143 196 57
57 145 63
92 43 57
64 43 49
78 49 75
165 85 64
31 53 68
96 191 26
32 42 92
163 199 45
16 205 45
202 17 46
67 70 4
218 136 78
151 168 65
162 17 95
207 119 91
108 159 89
170 38 50
171 47 90
166 152 85
206 91 88
44 183 17
15 173 32
132 4 13
45 187 85
68 67 92
146 177 43
69 147 91
40 107 62
172 49 56
26 184 48
113 155 74
123 109 93
192 175 77
66 29 7
190 36 18
7 158 38
56 60 72
197 194 89
129 208 99
6 172 26
34 56 12
41 85 72
198 197 94
204 68 85
5 83 45
111 184 8
82 4 54
27 205 76
219 61 57
131 69 41
100 11 86
77 191 25
215 85 36
81 46 81
110 91 61
51 198 17
117 178 98
210 52 68
90 179 46
154 133 22
86 161 87
121 151 66
58 1 26
104 1 30
9 219 46
30 8 4
10 220 99
142 153 99
108 3 21
